# Time-averaged data for fix flux_out
# TimeStep c_flux[1] c_flux[2] c_flux[3]
75900 8235.35 4660.88 -153.743
76000 9482.91 5308.77 17.523
76100 10746.4 5903.87 -91.2408
76200 11292.8 6568.53 -387.318
76300 11645.5 6615.8 -221.356
76400 11716.4 6783.11 -136.04
76500 11628 6809.1 -334.643
76600 11483 6858.35 -444.734
76700 10786.1 6531.22 -385.952
76800 10379.8 6532.54 -227.14
76900 9735.86 6248.23 -376.015
77000 9169.47 5976.85 -498.421
77100 8639.42 5825.49 -242.978
77200 8030.69 5579.32 -179.431
77300 7582.34 5496.18 -387.145
77400 7236.21 5168.06 -406.787
77500 6965.8 5094.71 -298.72
77600 6834.94 4812.08 -128.497
77700 6789.45 4428.24 -399.223
77800 6759.18 4317.21 -464.169
